upstream_base	a5a61806e434ef22141b622db989087fbba8ed21	upstream_head	1d507dad90812cd0873b151aac60ad7bff5127b6	local_head	6e98b45cb (worktree has concurrent changes; ddnet-libs fork 24a9a5e3c22f)
commit	date	subject	patch_equivalence	disposition	module	dependencies	notes	validation
ac566d06f5dcbd7c570fbd54faecf5f3c4fd1c75	2026-08-01	Predict laser doors without antiping	candidate	merged-local	client prediction/door	9d8a20bd0	Recover map-configured door length, rebuild overlapping door collision after snapshot cleanup, and gate doors on tile prediction without changing weapon prediction behavior.	Local commit 3f6d2b1e4; game-client build and 2901/2901 C++ tests pass; map smoke pending
9d8a20bd0d468c5ba7eb22a1ab1b64998f9a0bb8	2026-08-03	Bound predicted door length to the map	candidate	merged-local	client prediction/door	ac566d06f5	Reject zero or map-unbounded snapshot door lengths before the per-snapshot collision walk; preserve configured map door lengths.	Local commit 3f6d2b1e4; game-client build and 2901/2901 C++ tests pass; map smoke pending
860f6aa2b8adb69615daef4350b7e14e7ae14e8a	2026-01-05	Add strict, unified error handling for all tiles layers to `IMap`	candidate	covered-equivalent	map loading/IMap		Functionally covered by local commits f6d96033c and 6426052f1, with QmClient-specific ownership preserved.	Source audit
6258cceaaaaa341b5e4e06cfc080edd1878f9235	2026-08-09	Fix out-of-bounds accesses and map loading regressions of tiles layers	candidate	covered-equivalent	map loading/IMap		Functionally covered by local commit 6426052f1; no direct cherry-pick.	Source audit
548fac1d002cef922227e4d7aaf32dabec458e4b	2026-08-10	cmake: Add some security-related build flags	candidate	covered-equivalent	build/CMake		Local CMake security flags are already present in the current build configuration; no direct cherry-pick.	Source audit
bc396d820d569b25c544113d91a67f6e2c7a3298	2026-08-10	Convert credits to a client popup, update list of common contributors	candidate	adapted-local	client/settings credits		QmClient Contributor deck now includes the upstream DDNet contributor list and staff/releases links, preserving server `/credits` compatibility instead of adopting the standalone page.	Local commit b305b29cf; full C++ tests 2905/2905 pass; desktop/narrow runtime smoke pending
02843442cc68344f977264436305c5e29c997c45	2026-08-11	Update translations from ddnet-translations	candidate	deferred-policy	translations		Defer until source features stabilize; refresh through QmClient i18n workflow rather than copying generated language files.	Translation batch pending
76b9797d9a1cf2c0772fb169b6b40fe90ef83b2f	2026-08-11	Run scripts/languages/update_all.py	candidate	deferred-policy	translations	02843442cc	Generated-output workflow; defer until source features stabilize.	Translation batch pending
47a37ea0d880ed0db47428878a649c79b52e83b5	2026-08-11	Drop invalid hungarian translation	candidate	deferred-policy	translations	02843442cc	Apply only during the controlled i18n refresh; do not edit generated files independently.	Translation batch pending
68a888ddd95010d32c819693f41dcacdb79eece5	2026-08-11	Convert credits to a client popup, update list of common contributors (#12566)	merge-commit	covered-by-bc396d820	client/settings credits	bc396d820	Merge wrapper; use the QmClient Contributors adaptation rather than the upstream standalone page.	No separate cherry-pick
0ae2a0cd0dc3dc57032978a852c3b7d992c8a50f	2026-08-11	Rename `NET_MAX_PAYLOAD` to disentangle its uses	candidate	deferred-protocol-batch	network/protocol		Naming change spans payload limits and protocol semantics; defer with the atomic compatibility batch.	P4 protocol batch pending
ea69065a075a1b38008dd9bcd7be9237e79c2bbf	2026-08-11	Update translations for upcoming 20.0 (#12570)	merge-commit	deferred-policy	translations	02843442cc	Merge wrapper inherits the controlled i18n refresh policy; do not copy generated language files independently.	Translation batch pending
2a5c920f97e441ecae601fb3533bf2752cfa5ba7	2026-08-11	Rename `NET_MAX_PAYLOAD` to disentangle its uses (#12569)	merge-commit	deferred-protocol-batch	network/protocol	0ae2a0cd0	Merge wrapper inherits the atomic payload compatibility batch.	P4 protocol batch pending
9b0aaeb3356e147b66bb5bdb16171570eb729f20	2026-08-11	cmake: Add some security-related build flags (#12565)	merge-commit	covered-by-548fac1d0	build/CMake	548fac1d0	Merge wrapper; local build flags are already present.	No separate cherry-pick
10a899f577cf8a191ebd219b78fc8b4434784154	2026-08-12	build: Fix clang spam on unsupported flag	exact-patch-equivalent	covered-equivalent	build/CMake		Local f82a38287 contains the same unsupported-flag handling.	Source audit
822466e6615810c600b56d3830bec0be5a358004	2026-08-12	Bump dev version to 20.1	candidate	deferred-policy	versioning		Do not raise QmClient version during this sync; requires a dedicated release/version plan.	Version plan pending
dc754939632b442a8e69eb976b37e54ce5546f4a	2026-08-12	Scale conn_timeout with the integration test timeout multiplier	candidate	adapted-local	integration tests		Scaled `conn_timeout` and passed it to both client and server while preserving the local timeout multiplier.	Python compile, game-client, 2889 C++ tests, quick gate pass
4d766c2b7626f807f1702a723a458907279e2b02	2026-08-12	Scale conn_timeout with the integration test timeout multiplier (#12579)	merge-commit	covered-by-dc7549396	integration tests	dc7549396	Merge wrapper covered by adapted candidate.	No separate cherry-pick
98e9121b618c0a80c373b29791932d3cede69761	2026-08-12	Bump dev version to 20.1 (#12578)	merge-commit	covered-by-822466e	versioning	822466e	Merge wrapper; version bump intentionally deferred.	No separate cherry-pick
b68c684a2d6ec2076b71f2d2b54c96847185548e	2026-08-12	serverbrowser: reset prepared sqlite statement	candidate	adapted-local	serverbrowser/database		Reset prepared sqlite load statement before stepping; local source now matches upstream behavior.	game-client, 2889 C++ tests, quick gate pass
b0e1a030f67e2b1be51dee72f18509dbf75417da	2026-08-12	client: Don't crash when demo is starting during quit	exact-patch-equivalent	covered-equivalent	client/demo		Local 4b1cadef1 contains the equivalent quit/demo guard.	Source audit
b0ea56484265249367fad828d7c5afe6fef24ba9	2026-08-12	Make spectate menu more legible	exact-patch-equivalent	covered-equivalent	client/spectator-ui		Local b19f3de8b contains the adapted spectate menu readability fix.	Source audit
596c89b70a929cbafdaaa11557d27890d7a2444b	2026-08-12	client: Don't crash when demo is starting during quit (#12587)	merge-commit	covered-by-b0e1a030f	client/demo	b0e1a030f	Merge wrapper covered by local demo quit guard.	No separate cherry-pick
c965b34c4633ac35a87363e471f37aa97150aa18	2026-08-13	server: Use a bitset for the team start time check	exact-patch-equivalent	covered-equivalent	server/teams		Local c2f463533 applies std::bitset<NUM_DDRACE_TEAMS>; preserves QmClient 128-player team indexing and avoids undefined shifts.	Source audit
92c171c8348d3970e892ff954d27d8478352da56	2026-08-13	Make spectate menu more legible (#12588)	merge-commit	covered-by-b0ea5648	client/spectator-ui	b0ea5648	Merge wrapper covered by local spectate menu fix.	No separate cherry-pick
10e5321d97ebf46720e1788e2f438a6913465ec0	2026-08-13	serverbrowser: reset prepared sqlite statement (#12584)	merge-commit	covered-by-b68c684a2	serverbrowser/database	b68c684a2	Merge wrapper covered by adapted candidate.	No separate cherry-pick
e3f2c21d80b7fb82fb08ca629730a5eaa6114a60	2026-08-13	Fix undefined shift in the team start time check (#12590)	merge-commit	covered-by-c965b34c4	server/teams	c965b34c4	Merge wrapper covered by local bitset adaptation.	No separate cherry-pick
5f6a85cce7aaa5702fb57955acb14f19714e96e4	2026-08-13	sv_vote_majority: Fix explanation	candidate	covered-equivalent	server/config		Local 5e022ee92 carries the corrected sv_vote_majority description.	Source audit
a219dc98c735855b8cbb0f880b832782ed57ce79	2026-08-13	Fix 20.1 version number...	candidate	covered-by-822466e	versioning	822466e	Version correction belongs to the deferred release plan.	No separate cherry-pick
29b069d3ed3a3d63ab7f962ca4f8525c3f3f7833	2026-08-13	build: Fix clang spam on unsupported flag (#12577)	merge-commit	covered-equivalent	build/CMake		QmClient already routes warning flags through add_*_compiler_flag_if_supported; merge wrapper has no missing behavior.	Source audit
49ec20d3c2780f1edb2c912dfa6a5f0e47d773b6	2026-08-13	sv_vote_majority: Fix explanation (#12592)	merge-commit	covered-by-5f6a85cce	server/config	5f6a85cce	Merge wrapper covered by local config description fix.	No separate cherry-pick
677e4f7f32128704a3e430f9a1aeadad7a4cbbcf	2026-08-13	server: Only build team masks when a sound event fired	candidate	covered-equivalent	server/character		Current HEAD `54ec87f53` already limits team-mask construction to sound events while preserving 128-player behavior.	Source history and current-source audit
b7a65b684eee6ee2b5a1034f27b165f98eb223c8	2026-08-13	Fix 20.1 version number... (#12594)	merge-commit	covered-by-822466e	versioning	822466e	Merge wrapper; version correction remains deferred with the release plan.	No separate cherry-pick
36cdfb1726e6e405e8a2372d84187f0b4ea29b0d	2026-08-13	client: Fix mouse not being focussed on macOS	candidate	covered-equivalent	client/input/macos		Local input focus handling already contains the equivalent fix.	Source audit
80699e9f37a5b651fbd59b5939437e94ebbf2540	2026-08-13	client: Fix mouse not being focussed on macOS (#12593)	merge-commit	covered-by-36cdfb172	client/input/macos	36cdfb172	Merge wrapper covered by local macOS focus handling.	No separate cherry-pick
eaa09b526d593321efd2fca997a285d76ed5342c	2026-08-14	Add strict, unified error handling for all tiles layers to `IMap` (#11572)	merge-commit	covered-by-860f6aa2b	map loading/IMap		Merge wrapper; local equivalent is recorded at 860f6aa2b.	Source audit
f4f7ba09d7b933c4de86df489b2a2d33e680f7d8	2026-08-14	Fill projectile teammask once per tick	candidate	covered-equivalent	server/projectiles		Local server tick path already caches projectile team masks once per tick.	Source audit
cee0914d62233a94c33156e84313c3a678805632	2026-08-14	Don't return stale chunks from already-disconnected peers	candidate	covered-equivalent	network lifecycle		Current local 5373d7486 and follow-up 6c0126f99 reset/guard pending chunks for offline peers.	Source audit
d8ec091e8fc0f9d6923567d3426a2631fc67cec2	2026-08-14	Fill projectile teammask once per tick (#12600)	merge-commit	covered-by-f4f7ba09	server/projectiles	f4f7ba09	Merge wrapper covered by local projectile team-mask caching.	No separate cherry-pick
b943a87114b50fa1ed8ba5ace9b64cfde1afd46d	2026-08-14	Don't return stale chunks from already-disconnected peers (#12601)	merge-commit	covered-by-cee0914d6	network lifecycle	cee0914d6	Merge wrapper covered by local equivalent.	No separate cherry-pick
