local_base	6d37ad1c112a3dd9b178be5966cb3b25fc786bb9	upstream_base	a5a61806e434ef22141b622db989087fbba8ed21	upstream_head	1d507dad90812cd0873b151aac60ad7bff5127b6
commit	kind	subject	historical_disposition	historical_notes	historical_validation	review_status	current_evidence	gaps
ac566d06f5dcbd7c570fbd54faecf5f3c4fd1c75	commit	Predict laser doors without antiping	merged-local	Recover map-configured door length, rebuild overlapping door collision after snapshot cleanup, and gate doors on tile prediction without changing weapon prediction behavior.	Local commit 3f6d2b1e4; game-client build and 2901/2901 C++ tests pass; map smoke pending	adapted-worktree	prediction/entities/door.cpp:28-62 有 MapSide/MapLength，gameworld.cpp:526 对 LASERTYPE_DOOR 改用 m_PredictTiles 门控，607-611 在移除实体后按地图顺序重建门碰撞。	未做默认配置下的激光门预测实测。
9d8a20bd0d468c5ba7eb22a1ab1b64998f9a0bb8	commit	Bound predicted door length to the map	merged-local	Reject zero or map-unbounded snapshot door lengths before the per-snapshot collision walk; preserve configured map door lengths.	Local commit 3f6d2b1e4; game-client build and 2901/2901 C++ tests pass; map smoke pending	adapted-worktree	door.cpp:84-94 在没有地图配置长度时用 (地图宽+高)*32 作为上限拒绝畸形端点，避免每次 snapshot 的过长遍历。	未做恶意端点报文的实测。
860f6aa2b8adb69615daef4350b7e14e7ae14e8a	commit	Add strict, unified error handling for all tiles layers to `IMap`	covered-equivalent	Functionally covered by local commits f6d96033c and 6426052f1, with QmClient-specific ownership preserved.	Source audit	adapted-worktree	map.h:53-56 有 ValidateMapVersion/UpgradeAndValidateTilesLayerItem/ValidateAndUnpackTilesLayerData，map.cpp:103-142 检查组与图层截断、图层范围、重复图层，181-183 检查 game 层数据，237-240 检查 m_MustBe0；中文注释与官方语义一致。	新增 src/test/map_load_test.cpp 覆盖合法地图、宽度不足 2、缺少 game 层、物理层标志组合非法、组条目截断、组图层范围越界与 game 层数据索引无效；未用 map_test 跑全量地图。
6258cceaaaaa341b5e4e06cfc080edd1878f9235	commit	Fix out-of-bounds accesses and map loading regressions of tiles layers	covered-equivalent	Functionally covered by local commit 6426052f1; no direct cherry-pick.	Source audit	adapted-worktree	map_renderer.cpp:201-219 的 GetLayerType 按 TILESLAYERFLAG_* 判定；layers.cpp:131-133 的 InitTilemapSkip 跳过物理层；collision.cpp:88-96 校验 game 层数据长度后才取指针；map.cpp 拒绝非法图层范围。	新增 src/test/map_load_test.cpp 覆盖同一条加载链的拒绝路径；未做畸形地图的实机加载与物理层越界复现。
548fac1d002cef922227e4d7aaf32dabec458e4b	commit	cmake: Add some security-related build flags	covered-equivalent	Local CMake security flags are already present in the current build configuration; no direct cherry-pick.	Source audit	adapted-worktree	推翻“未适配”检查点：当前 CMake 已按官方意图适配 stack-clash-protection、cf-protection=full、mbranch-protection=standard、Linux RELRO、优先 _FORTIFY_SOURCE=3 并在非 Emscripten 平台探测 PIE（本地提交 f714ee456）。	仅完成 CMake 配置级核对；Windows 多配置环境不进入该非 MSVC 分支，Linux/macOS 编译器与链接器实际接受情况待对应平台构建验证。
bc396d820d569b25c544113d91a67f6e2c7a3298	commit	Convert credits to a client popup, update list of common contributors	adapted-local	QmClient Contributor deck now includes the upstream DDNet contributor list and staff/releases links, preserving server `/credits` compatibility instead of adopting the standalone page.	Local commit b305b29cf; full C++ tests 2905/2905 pass; desktop/narrow runtime smoke pending	adapted-partial-worktree	弹窗机制已存在（menus_settings.cpp:5546-5552 用 DoSettingsButton_Menu + ShowPopupMessage），但内容换成 QmClient 自己的翻译鸣谢文案（5536 行），没有官方那份贡献者名单。	贡献者名单是否要引入需单独决定（涉及本地品牌文案）。
02843442cc68344f977264436305c5e29c997c45	commit	Update translations from ddnet-translations	deferred-policy	Defer until source features stabilize; refresh through QmClient i18n workflow rather than copying generated language files.	Translation batch pending	deferred-policy	本地翻译由自己的 TOML 源与生成链维护（见 qmclient-i18n-workflow），没有 ddnet-translations 子模块，官方直接更新翻译文件的方式不适用。	需要时按本地 i18n 流程单独导入官方翻译变更。
76b9797d9a1cf2c0772fb169b6b40fe90ef83b2f	commit	Run scripts/languages/update_all.py	deferred-policy	Generated-output workflow; defer until source features stabilize.	Translation batch pending	deferred-policy	本地存在 scripts/languages/update_all.py，但翻译来源与生成链是本地维护的，不能直接按官方步骤重跑。	按本地 i18n 流程核对后再决定是否重跑。
47a37ea0d880ed0db47428878a649c79b52e83b5	commit	Drop invalid hungarian translation	deferred-policy	Apply only during the controlled i18n refresh; do not edit generated files independently.	Translation batch pending	deferred-policy	本地仍有 data/languages/hungarian.txt；是否属于官方所说的“无效翻译”需按本地 i18n 审计流程判断，不能直接删除。	需 i18n 审计（qmclient-i18n-audit）确认后再决定删除。
68a888ddd95010d32c819693f41dcacdb79eece5	merge	Convert credits to a client popup, update list of common contributors (#12566)	covered-by-bc396d820	Merge wrapper; use the QmClient Contributors adaptation rather than the upstream standalone page.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（bc396d820）；继承底层结论：adapted-partial-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
