upstream_base	1d507dad90812cd0873b151aac60ad7bff5127b6	upstream_head	59968143f78ce6bff2123e0e540e8763a8ff6f8e	local_head	6d37ad1c112a3dd9b178be5966cb3b25fc786bb9
commit	date	subject	patch_equivalence	disposition	module	dependencies	notes	validation
be3e5e6a3c03065241c71051dd2f15e2a1c0a7fc	2026-07-31	Size the snapshot delta buffers correctly	candidate	deferred-structure-prerequisite	snapshot/delta	当前使用 Rust snapshot/delta.rs，官方 C++ CSnapshotDelta 缓冲区接口不存在；需单独设计 Rust 解码容量与 demo/server 失败传播批次	2026-09-08 源码核对；Rust UnpackDelta 错误返回 -1，但未进行大快照边界测试
cda171db1e781fa346ef7ac5950683b731d2b6e6	2026-08-19	client: When deleting demo select the next demo	candidate	adapted-worktree	client/demo browser		适配到多选删除流程：仅单个 demo 或文件夹删除后选择相邻条目，多选删除保持原有选择行为；本地提交 83541a9ac。	clang-format 干跑、git diff --check；完整客户端构建待 Windows SDK 环境恢复
3e7e479de15a96b02163b59e66cdcea21add8528	2026-08-19	client: When deleting 0.7 skin select the next skin	candidate	adapted-worktree	client/skins7 + ghosts		按现有名称列表模型在删除 0.7 皮肤后选择替代项，并适配同提交中的 ghost 删除索引夹紧；本地提交 82af6af64。	clang-format 干跑、git diff --check；完整客户端构建待 Windows SDK 环境恢复
178da1eadeb2f9c7b7197e27723322d8169b1c2e	2026-08-24	client: Handle input earlier	candidate	unreviewed				
b871d3432ebd5fcced1cf3759d7ef566239f7b05	2026-08-27	Suppress the bundled wavpack shift reports for UBSan	candidate	reverted-by-upstream	build/ubsan		随后由官方 7e96eeab3 撤回；当前不应重新添加 Wavpack 4.40 抑制。	官方提交序列核对
1a16a876bb1b0fdb1e4bef8fd520b8d74a22d4bf	2026-08-25	Keep sound running when no audio device is available	candidate	adapted-worktree	engine/sound		当前 sound.cpp 已包含无设备初始化、SDL 设备事件、无设备时推进 voice 和设备重开逻辑；QmClient 额外保留无输出设备保护。运行时拔插验证仍缺。	源码与官方 diff 核对
477825c2a0c9f48a4ef68ea4ef79aadca4fe4911	2025-08-03	Use `std::vector` for shader code lines instead of `new[]`	candidate	adapted-worktree	graphics/opengl		使用 vector 保存 shader 源码指针，保持 glShaderSource 行为不变；本地提交 82c5761a3。	clang-format 干跑、git diff --check；OpenGL 构建待 Windows SDK 环境恢复
0613b67043d6e38af822c8dc198edc2c6a1e24f0	2026-08-31	Fix memory leak of removed vote options	candidate	verified-code-equivalent	client/voting		voting.cpp:435-436，回收链为空时设置m_pRecycleFirst；AddOption从first弹出并在链空时清last，与官方修复一致	2026-09-08官方diff与当前源码逐处核对；未做音频设备运行时验证；CMake来源确认期间不启动构建
ab5109826f1e43d60533592f39b9e262a2434804	2026-08-31	Improve sound assertions, add assertions for `Play` function	candidate	verified-code-equivalent	engine/sound		当前 sound.cpp 已包含官方新增的 Play 参数断言及各处带索引的错误信息；无需重复提交。	源码逐处核对
b4eab43a14bb3d929ef79196631ea38cd073ab69	2026-08-31	Fix mapsound sample index not being initialized on errors	candidate	verified-code-equivalent	client/mapsounds		mapsounds.cpp外置名称失败、内置数据失败两条路径均在continue前设置m_aSounds[i]=-1，与官方两处diff一致	2026-09-08官方diff与当前源码逐处核对；未做音频设备运行时验证；CMake来源确认期间不启动构建
bd6cdad31d51aefa0ecf25cb006cbf19f3c5e1f6	2026-09-01	Fix mapsound sample index not being initialized on errors, improve assertions (#12753)	merge-commit	verified-wrapper	engine/sound + client/mapsounds	b4eab43a14,ab5109826	合并包装；底层两项已分别由当前源码覆盖。	父链与底层提交核对
1159edfa0309f78599b4a2703ae08c663d3789b1	2026-09-01	Fix memory leak of removed vote options (#12754)	merge-commit	verified-wrapper	client/voting	0613b67043	合并包装；底层回收链修复已在当前 voting.cpp 覆盖。	父链与底层提交核对
1fe2e62d1fa0000cc82362eb077fd5d269593366	2026-09-01	ios: Support dark/tinted icons	candidate	unreviewed				
1f9b189615495defa3114443563863088f8a5f1e	2026-09-01	Keep sound running when no audio device is available (#12706)	merge-commit	verified-wrapper	engine/sound	1a16a876bb	合并包装；无设备音频实现已按本地结构适配，另有运行时设备验证缺口。	父链与底层提交核对
acfefe91e83af10299cebc7fee4673e997f3c2a6	2026-08-24	client: Show freeze pickups as snowflakes	candidate	requires-approval-gameplay	protocol/pickups + map entities		新增 POWERUP_FREEZE 协议值并改变预测、服务端快照和旧客户端回退语义；按协议/玩法边界单独确认后再实施。	官方 diff 与当前源码核对，未改代码
eeec4e480378cad98231b440f210eeb1362f417b	2026-08-23	server: Fix old clients when many players are in teams	candidate	unreviewed				
e8427c5d1afa10b5aec0b62872aa84c880aab461	2026-08-23	build: Support IPO/LTO on Windows, CI release builds and Android	candidate	adapted-partial	base/string + map_extract + build/IPO		已适配安全的 str_copy、PNG 宽度、map_extract 尺寸校验和 teehistorian 测试修复，本地提交 7cd3848fd；Windows/Android/CI IPO 分支仍需独立构建审查。	clang-format 干跑、git diff --check；Linux testrunner 无法在当前 Windows 主机运行
364c03c797d515f6142e7296afb0eaeb1b80af35	2026-09-02	client: Fix crash when refreshing skins while skins are still loading	candidate	verified-code-equivalent	client/skins		Refresh:2360-2363在Abort后将m_pLoadJob设为空；与上游修复相同；其他取消路径也有清理	2026-09-08源码与官方diff核对；工作树补丁构建/回归进行中；跨平台运行时未验
cbb82fff9e2620c3cb223cd985a8cd45fa03168e	2026-09-02	client: Fix segfault on quit with OpenGL 2	candidate	verified-code-equivalent	graphics/opengl		Init六个shader指针均为nullptr，Shutdown的DeleteProgram受m_HasShaders保护；对象delete在条件外但nullptr安全，已静态覆盖上游退出崩溃修复	2026-09-08逐hunk源码核对；未运行OpenGL2退出smoke
78d8f82c52c631a439c0ef74f15f49d30891e491	2026-09-02	server: Fix MySQL TLS without CA cert	candidate	confirmed-gap	server/mysql		本地仍用CLIENT_SSL且仅有CA时设置SSL mode；未覆盖官方无CA时TLS启用修复，需要MySQL/MariaDB分别验证	2026-09-08源码与官方diff核对；工作树补丁构建/回归进行中；跨平台运行时未验
